src,cond,task,seed,repeat,run_id,success,result,mechanism,turns,n_picks,hold_turn,n_release,rel_fails,first_release_turn,stall_span,moves_after_hold,perc_after_hold,guard_blocks,near_repeat_rate
pg,hardcap,7,4,3,20260817-17:13:09_hardcap_libero_spatial_task_t7_s4_r3,True,success,success,30,1,17,1,0,27,10,3,6,2,0.25
pg,hardcap,7,5,2,20260817-17:15:31_hardcap_libero_spatial_task_t7_s5_r2,True,success,place_stall,32,1,19,0,0,,,6,5,2,0.0
pg,hardcap,7,5,3,20260817-17:19:50_hardcap_libero_spatial_task_t7_s5_r3,True,success,success,32,1,17,1,0,29,12,4,7,1,0.14
pg,hardcap,7,5,1,20260817-17:15:07_hardcap_libero_spatial_task_t7_s5_r1,False,policy_fail,place_fail,40,1,24,1,1,34,10,7,6,1,0.0
pg,hardcap,7,6,1,20260817-17:22:09_hardcap_libero_spatial_task_t7_s6_r1,False,policy_fail,place_stall,40,1,22,0,0,,,6,11,1,0.0
pg,hardcap,7,7,2,20260817-17:25:15_hardcap_libero_spatial_task_t7_s7_r2,True,success,success,34,1,20,1,0,31,11,5,5,1,0.0
pg,hardcap,7,7,1,20260817-17:22:52_hardcap_libero_spatial_task_t7_s7_r1,True,success,success,40,2,19,1,1,29,10,8,8,1,0.29
pg,hardcap,7,6,2,20260817-17:22:36_hardcap_libero_spatial_task_t7_s6_r2,False,policy_fail,place_stall,40,4,36,0,0,,,1,2,2,0.17
pg,hardcap,7,6,3,20260817-17:22:42_hardcap_libero_spatial_task_t7_s6_r3,False,policy_fail,place_fail,40,3,18,2,2,26,8,7,18,6,0.17
pg,hardcap,7,8,1,20260817-17:29:33_hardcap_libero_spatial_task_t7_s8_r1,True,success,success,27,1,16,1,0,24,8,3,4,0,0.29
pg,hardcap,7,7,3,20260817-17:25:58_hardcap_libero_spatial_task_t7_s7_r3,False,policy_fail,place_fail,40,1,17,1,1,30,13,7,14,1,0.18
pg,hardcap,7,9,1,20260817-17:35:56_hardcap_libero_spatial_task_t7_s9_r1,False,policy_fail,grasp_fail,40,7,,0,0,,,0,0,1,0.5
pg,hardcap,7,8,3,20260817-17:34:58_hardcap_libero_spatial_task_t7_s8_r3,False,policy_fail,grasp_fail,40,2,,1,1,38,,0,0,1,0.1
pg,hardcap,7,10,1,20260817-17:38:14_hardcap_libero_spatial_task_t7_s10_r1,False,success,place_partial,40,3,24,1,0,39,15,5,7,1,0.0
pg,hardcap,7,9,2,20260817-17:36:24_hardcap_libero_spatial_task_t7_s9_r2,True,success,success,37,2,12,1,0,34,22,8,12,1,0.0
pg,hardcap,7,8,2,20260817-17:31:19_hardcap_libero_spatial_task_t7_s8_r2,True,success,success,34,1,20,1,0,31,11,4,6,1,0.14
pg,hardcap,7,9,3,20260817-17:37:21_hardcap_libero_spatial_task_t7_s9_r3,True,success,success,39,1,23,1,0,36,13,5,7,2,0.2
pg,hardcap,7,10,2,20260817-17:39:05_hardcap_libero_spatial_task_t7_s10_r2,False,policy_fail,place_stall,40,1,21,0,0,,,5,12,0,0.0
pg,hardcap,7,10,3,20260817-17:42:02_hardcap_libero_spatial_task_t7_s10_r3,True,success,success,35,1,21,1,0,32,11,4,6,2,0.4
pg,hardcap,9,1,1,20260818-10:06:51_hardcap_libero_spatial_task_t9_s1_r1,False,policy_fail,place_fail,40,1,23,1,1,36,13,6,9,1,0.18
pg,hardcap,9,2,2,20260818-10:06:51_hardcap_libero_spatial_task_t9_s2_r2,False,policy_fail,place_stall,40,2,26,0,0,,,3,9,1,0.06
pg,hardcap,9,1,3,20260818-10:06:51_hardcap_libero_spatial_task_t9_s1_r3,False,policy_fail,place_fail,40,1,19,1,1,35,16,5,13,1,0.08
pg,hardcap,9,3,1,20260818-10:06:51_hardcap_libero_spatial_task_t9_s3_r1,True,success,success,34,1,17,1,0,31,14,7,7,0,0.0
pg,hardcap,9,3,2,20260818-10:06:51_hardcap_libero_spatial_task_t9_s3_r2,False,policy_fail,place_fail,40,2,19,1,1,38,19,7,11,0,0.11
pg,hardcap,9,2,3,20260818-10:06:51_hardcap_libero_spatial_task_t9_s2_r3,False,policy_fail,place_stall,40,1,22,0,0,,,6,11,1,0.09
pg,hardcap,9,2,1,20260818-10:06:51_hardcap_libero_spatial_task_t9_s2_r1,False,policy_fail,place_fail,40,2,20,1,1,35,15,6,11,1,0.0
pg,hardcap,9,1,2,20260818-10:06:51_hardcap_libero_spatial_task_t9_s1_r2,False,policy_fail,place_stall,40,2,18,0,0,,,7,12,2,0.0
pg,hardcap,9,3,3,20260818-10:15:13_hardcap_libero_spatial_task_t9_s3_r3,False,policy_fail,place_stall,40,2,21,0,0,,,4,13,1,0.36
pg,hardcap,9,4,1,20260818-10:15:25_hardcap_libero_spatial_task_t9_s4_r1,False,policy_fail,place_fail,40,2,17,2,2,25,8,10,8,0,0.0
pg,hardcap,9,4,2,20260818-10:15:36_hardcap_libero_spatial_task_t9_s4_r2,False,policy_fail,place_fail,40,1,18,1,1,30,12,10,9,2,0.25
pg,hardcap,9,6,1,20260818-10:19:49_hardcap_libero_spatial_task_t9_s6_r1,False,policy_fail,place_stall,40,1,25,0,0,,,3,11,3,0.0
