src,cond,task,seed,repeat,result,run_id,n_turns,n_picks,picks_held,n_release,rel_term,first_hold_pick,n_moves,finish_status
sm,structured,7,6,1,success,20260818-16:08:38_structured_libero_spatial_task_t7_s6_r1,29,1,1,1,True,1,7,success
pg,baseline,7,7,1,policy_fail,20260814-18:43:55_libero_spatial_task_t7_s7,40,2,2,1,False,1,8,
pg,baseline,7,7,2,success,20260814-22:43:36_baseline_libero_spatial_task_t7_s7_r2,32,1,1,1,True,1,6,success
pg,baseline,7,7,3,success,20260814-22:45:21_baseline_libero_spatial_task_t7_s7_r3,40,1,1,1,True,1,8,
pg,hardcap,7,7,2,success,20260817-17:25:15_hardcap_libero_spatial_task_t7_s7_r2,34,1,1,1,True,1,6,success
pg,hardcap,7,7,1,success,20260817-17:22:52_hardcap_libero_spatial_task_t7_s7_r1,40,2,2,1,False,1,10,success
pg,hardcap,7,7,3,policy_fail,20260817-17:25:58_hardcap_libero_spatial_task_t7_s7_r3,40,1,1,1,False,1,9,
pg,ours,7,7,1,policy_fail,20260817-14:57:49_ours_libero_spatial_task_t7_s7_r1,40,0,0,0,False,,2,
pg,ours,7,7,2,policy_fail,20260817-14:59:35_ours_libero_spatial_task_t7_s7_r2,40,2,0,0,False,,6,
pg,ours,7,7,3,policy_fail,20260817-15:00:02_ours_libero_spatial_task_t7_s7_r3,40,3,0,0,False,,13,
sm,structured,7,7,1,policy_fail,20260818-16:09:33_structured_libero_spatial_task_t7_s7_r1,40,5,3,1,False,1,12,
pg,baseline,7,8,1,policy_fail,20260814-18:48:08_libero_spatial_task_t7_s8,40,4,1,0,False,4,6,
pg,baseline,7,8,3,policy_fail,20260814-22:59:19_baseline_libero_spatial_task_t7_s8_r3,40,2,2,0,False,1,8,
pg,baseline,7,8,2,policy_fail,20260814-22:59:19_baseline_libero_spatial_task_t7_s8_r2,40,2,2,1,False,1,9,
pg,hardcap,7,8,1,success,20260817-17:29:33_hardcap_libero_spatial_task_t7_s8_r1,27,1,1,1,True,1,5,success
pg,hardcap,7,8,3,policy_fail,20260817-17:34:58_hardcap_libero_spatial_task_t7_s8_r3,40,2,0,1,False,,11,
pg,hardcap,7,8,2,success,20260817-17:31:19_hardcap_libero_spatial_task_t7_s8_r2,34,1,1,1,True,1,7,success
pg,ours,7,8,1,policy_fail,20260817-15:00:23_ours_libero_spatial_task_t7_s8_r1,40,1,1,1,False,1,8,
pg,ours,7,8,2,policy_fail,20260817-15:01:47_ours_libero_spatial_task_t7_s8_r2,40,7,0,0,False,,3,
pg,ours,7,8,3,policy_fail,20260817-15:04:06_ours_libero_spatial_task_t7_s8_r3,40,3,2,0,False,1,4,
sm,structured,7,8,1,policy_fail,20260818-16:11:13_structured_libero_spatial_task_t7_s8_r1,40,2,1,1,False,1,10,failure
pg,baseline,7,9,1,policy_fail,20260814-18:51:14_libero_spatial_task_t7_s9,40,1,1,0,False,1,8,
pg,baseline,7,9,2,success,20260814-23:13:47_baseline_libero_spatial_task_t7_s9_r2,35,1,1,1,True,1,4,success
pg,baseline,7,9,3,success,20260814-23:15:13_baseline_libero_spatial_task_t7_s9_r3,40,1,1,1,True,1,7,
pg,hardcap,7,9,1,policy_fail,20260817-17:35:56_hardcap_libero_spatial_task_t7_s9_r1,40,7,0,0,False,,7,
pg,hardcap,7,9,2,success,20260817-17:36:24_hardcap_libero_spatial_task_t7_s9_r2,37,2,2,1,True,1,9,success
pg,hardcap,7,9,3,success,20260817-17:37:21_hardcap_libero_spatial_task_t7_s9_r3,39,1,1,1,True,1,7,success
pg,ours,7,9,2,success,20260817-15:07:40_ours_libero_spatial_task_t7_s9_r2,32,1,1,1,True,1,6,success
pg,ours,7,9,1,policy_fail,20260817-15:06:31_ours_libero_spatial_task_t7_s9_r1,40,2,2,0,False,1,4,
pg,ours,7,9,3,policy_fail,20260817-15:07:54_ours_libero_spatial_task_t7_s9_r3,40,5,0,0,False,,8,
sm,structured,7,9,1,success,20260818-16:16:53_structured_libero_spatial_task_t7_s9_r1,36,2,2,1,True,1,8,success
pg,baseline,9,1,1,policy_fail,20260813-15:38:25_libero_spatial_task_t9_s1,40,1,1,0,False,1,8,
pg,baseline,9,1,2,policy_fail,20260814-23:39:57_baseline_libero_spatial_task_t9_s1_r2,40,2,2,2,False,1,9,
pg,baseline,9,1,3,policy_fail,20260814-23:41:40_baseline_libero_spatial_task_t9_s1_r3,40,2,2,0,False,1,4,
pg,hardcap,9,1,1,policy_fail,20260818-10:06:51_hardcap_libero_spatial_task_t9_s1_r1,40,1,1,1,False,1,8,
